Domain,Base Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,HSTS Preloaded,Broken Root,Broken WWW
adr.gov,adr.gov,https://www.adr.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
afrh.gov,afrh.gov,https://www.afrh.gov,True,False,,False,True,False,True,True,False,False,max-age=157680000,157680000,False,False,False,True,False
agingstats.gov,agingstats.gov,https://agingstats.gov,True,False,,True,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False
airnow.gov,airnow.gov,https://airnow.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,True,False,False
alaskacenters.gov,alaskacenters.gov,https://alaskacenters.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False
ahrq.gov,ahrq.gov,https://www.ahrq.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,True,True,False,False,False
amberalert.gov,amberalert.gov,https://amberalert.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;includeSubDomains;preload,31536000,True,True,False,False,False
altusandc.gov,altusandc.gov,http://www.altusandc.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,True,False
aids.gov,aids.gov,https://www.aids.gov,True,False,,True,True,False,True,False,False,False,"['max-age=31536000; includeSubdomains; preload', 'max-age=31536000; includeSubDomains; preload']",,True,True,True,False,False
americathebeautifulquarters.gov,americathebeautifulquarters.gov,https://www.americathebeautifulquarters.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
ameslab.gov,ameslab.gov,https://www.ameslab.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,True,False
america.gov,america.gov,https://www.america.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
amtrakoig.gov,amtrakoig.gov,https://amtrakoig.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
arc.gov,arc.gov,https://arc.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
apps.gov,apps.gov,https://apps.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
anstaskforce.gov,anstaskforce.gov,https://www.anstaskforce.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
archives.gov,archives.gov,https://www.archives.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;,31536000,False,False,False,False,False
anchorit.gov,anchorit.gov,https://www.anchorit.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False
ars-grin.gov,ars-grin.gov,http://www.ars-grin.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,True,False
anl.gov,anl.gov,http://www.anl.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,True,False
arts.gov,arts.gov,https://www.arts.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
arm.gov,arm.gov,https://www.arm.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
aviationweather.gov,aviationweather.gov,http://aviationweather.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
ayudaconmibanco.gov,ayudaconmibanco.gov,https://ayudaconmibanco.gov,True,False,,True,True,False,True,False,False,True,max-age=46915200; includesSubDomains,46915200,False,False,False,False,False
asc.gov,asc.gov,https://www.asc.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
atfonline.gov,atfonline.gov,https://atfonline.gov,True,False,,False,True,False,True,True,False,False,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False
atf.gov,atf.gov,https://www.atf.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; preload,31536000,False,False,False,True,False
arctic.gov,arctic.gov,https://arctic.gov,True,False,,True,True,False,True,False,False,True,max-age=16070400; includeSubDomains; preload,16070400,True,True,True,False,False
bankcustomerassistance.gov,bankcustomerassistance.gov,https://bankcustomerassistance.gov,True,False,,True,True,False,True,False,False,True,max-age=46915200; includesSubDomains,46915200,False,False,False,False,False
bankcustomer.gov,bankcustomer.gov,https://bankcustomer.gov,True,False,,True,True,False,True,False,False,True,max-age=46915200; includesSubDomains,46915200,False,False,False,False,False
asap.gov,asap.gov,https://www.asap.gov,True,False,,True,True,False,True,False,False,True,max-age=31536001; includeSubDomains,31536001,False,False,False,False,False
bankanswers.gov,bankanswers.gov,https://bankanswers.gov,True,False,,True,True,False,True,False,False,True,max-age=46915200; includesSubDomains,46915200,False,False,False,False,False
bankhelp.gov,bankhelp.gov,https://bankhelp.gov,True,False,,True,True,False,True,False,False,True,max-age=46915200; includesSubDomains,46915200,False,False,False,False,False
benefits.gov,benefits.gov,https://www.benefits.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubdomains;,31536000,False,False,False,True,False
bats.gov,bats.gov,https://www.bats.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False
bbg.gov,bbg.gov,https://www.bbg.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
bep.gov,bep.gov,http://bep.gov,True,False,,False,False,False,False,True,True,False,max-age=63072000; includeSubDomains; preload,63072000,False,False,False,False,False
bea.gov,bea.gov,https://bea.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False
bia.gov,bia.gov,https://bia.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
bfem.gov,bfem.gov,http://bfem.gov,True,False,,True,False,False,True,False,False,True,max-age=315360; includeSubDomains,315360,True,False,False,False,False
bioeco.gov,bioeco.gov,https://www.bioeco.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,False,False,False,True,False
bls.gov,bls.gov,https://www.bls.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False
bnl.gov,bnl.gov,https://www.bnl.gov,True,False,,True,True,False,True,False,False,False,'max-age=10886400',,False,False,False,False,False
bondpro.gov,bondpro.gov,https://bondpro.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
bjs.gov,bjs.gov,https://bjs.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;includeSubDomains;preload,31536000,True,True,False,False,False
biopreferred.gov,biopreferred.gov,https://www.biopreferred.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubdomains; preload,31536000,True,True,False,False,False
bop.gov,bop.gov,https://www.bop.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,True,False
bpa.gov,bpa.gov,https://www.bpa.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubDomains; preload,63072000,False,False,False,False,False
bja.gov,bja.gov,https://www.bja.gov,True,False,,False,True,False,True,True,False,False,max-age=31536000; includeSubDomains; always,31536000,False,False,False,False,False
boem.gov,boem.gov,https://www.boem.gov,True,False,,True,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
blm.gov,blm.gov,https://www.blm.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
bts.gov,bts.gov,https://www.bts.gov,True,False,,True,True,False,True,False,False,True,max-age=31622400,31622400,False,False,False,True,False
brac.gov,brac.gov,http://brac.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
broadbandmap.gov,broadbandmap.gov,https://broadbandmap.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
brc.gov,brc.gov,http://www.brc.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
bsee.gov,bsee.gov,https://www.bsee.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
buyusa.gov,buyusa.gov,http://buyusa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
buyaccessible.gov,buyaccessible.gov,https://buyaccessible.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
cancer.gov,cancer.gov,https://www.cancer.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False
cbca.gov,cbca.gov,http://cbca.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
cbp.gov,cbp.gov,https://www.cbp.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
capnhq.gov,capnhq.gov,https://www.capnhq.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
bosque.gov,bosque.gov,https://bosque.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False
cdc.gov,cdc.gov,https://www.cdc.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False
ccac.gov,ccac.gov,https://www.ccac.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
cendi.gov,cendi.gov,https://cendi.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
cep.gov,cep.gov,https://cep.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
cfa.gov,cfa.gov,https://www.cfa.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
challenge.gov,challenge.gov,https://www.challenge.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
census.gov,census.gov,https://www.census.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
cfda.gov,cfda.gov,https://cfda.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,False,False,False
cfo.gov,cfo.gov,https://cfo.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
cdfifund.gov,cdfifund.gov,https://www.cdfifund.gov,True,False,,True,True,False,False,False,False,True,max-age=600,600,False,False,False,False,False
chcoc.gov,chcoc.gov,https://chcoc.gov,True,False,,True,True,False,True,False,False,False,"['max-age=31536000; includeSubdomains', 'max-age=31536000; includeSubdomains']",,False,False,False,False,False
childreninadversity.gov,childreninadversity.gov,https://www.childreninadversity.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
childwelfare.gov,childwelfare.gov,https://childwelfare.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
cftc.gov,cftc.gov,http://www.cftc.gov,True,False,,True,False,True,False,False,False,False,,,False,False,False,True,False
christophercolumbusfoundation.gov,christophercolumbusfoundation.gov,https://www.christophercolumbusfoundation.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;,31536000,False,False,True,True,False
childstats.gov,childstats.gov,https://www.childstats.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False
cio.gov,cio.gov,https://cio.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
cia.gov,cia.gov,https://www.cia.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
climate.gov,climate.gov,https://www.climate.gov,True,False,,True,True,False,True,False,False,True,max-age=15768000,15768000,False,False,False,False,False
ciso.gov,ciso.gov,https://ciso.gov,True,False,,True,True,False,False,False,False,True,max-age=86400,86400,False,False,False,False,False
clintonlibrary.gov,clintonlibrary.gov,https://www.clintonlibrary.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
cjis.gov,cjis.gov,https://www.cjis.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
choosemyplate.gov,choosemyplate.gov,https://www.choosemyplate.gov,True,False,,True,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False
citizenscience.gov,citizenscience.gov,https://www.citizenscience.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;,31536000,False,False,True,False,False
cms.gov,cms.gov,https://www.cms.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
clinicaltrials.gov,clinicaltrials.gov,https://clinicaltrials.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
cmts.gov,cmts.gov,http://www.cmts.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,True,False
cncsoig.gov,cncsoig.gov,https://www.cncsoig.gov,True,False,,True,True,False,False,False,False,False,max-age:31536000; includeSubDomains,,False,False,False,False,False
code.gov,code.gov,https://code.gov,True,False,,True,True,False,True,False,False,True,max-age=86400,86400,False,False,False,False,False
cloud.gov,cloud.gov,https://cloud.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,True,False,False
cnss.gov,cnss.gov,https://www.cnss.gov,True,False,,False,True,False,True,True,False,False,,,False,False,False,True,False
commerce.gov,commerce.gov,https://www.commerce.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
collegedrinkingprevention.gov,collegedrinkingprevention.gov,https://www.collegedrinkingprevention.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
computersforlearning.gov,computersforlearning.gov,https://computersforlearning.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
consumidor.gov,consumidor.gov,https://www.consumidor.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
comptrollerofthecurrency.gov,comptrollerofthecurrency.gov,https://comptrollerofthecurrency.gov,True,False,,True,True,False,True,False,False,True,max-age=46915200; includesSubDomains,46915200,False,False,False,False,False
consumerfinance.gov,consumerfinance.gov,https://www.consumerfinance.gov,True,False,,True,True,False,False,False,False,True,max-age=3600,3600,False,False,False,False,False
complaintreferralexpress.gov,complaintreferralexpress.gov,https://www.complaintreferralexpress.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
consumer.gov,consumer.gov,https://www.consumer.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
continentalshelf.gov,continentalshelf.gov,https://www.continentalshelf.gov,True,False,,True,True,False,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False
cpnireporting.gov,cpnireporting.gov,https://www.cpnireporting.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,True,False
cpars.gov,cpars.gov,https://www.cpars.gov,True,False,,False,True,False,True,True,False,False,,,False,False,False,True,False
contractdirectory.gov,contractdirectory.gov,https://www.contractdirectory.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
coralreef.gov,coralreef.gov,http://www.coralreef.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
crimesolutions.gov,crimesolutions.gov,https://www.crimesolutions.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;includeSubDomains;preload,31536000,False,False,False,False,False
cpsc.gov,cpsc.gov,https://cpsc.gov,True,False,,True,True,False,False,False,False,False,"['max-age=31536000; includeSubDomains', 'max-age=31536000; includeSubDomains']",,False,False,False,False,False
crt2014-2024review.gov,crt2014-2024review.gov,https://crt2014-2024review.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubDomains; preload,63072000,True,True,False,False,False
crimevictims.gov,crimevictims.gov,https://crimevictims.gov,True,False,,False,True,False,True,True,False,False,max-age=31536000;includeSubDomains;preload,31536000,False,False,False,False,False
csb.gov,csb.gov,http://www.csb.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
csosa.fed.us,fed.us,http://www.csosa.fed.us,True,False,,False,False,False,False,False,False,False,,,False,False,False,True,False
cttso.gov,cttso.gov,http://cttso.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
cuidadodesalud.gov,cuidadodesalud.gov,https://www.cuidadodesalud.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;preload,31536000,False,False,False,False,False
cyber.gov,cyber.gov,https://cyber.gov,True,False,,True,True,False,False,False,False,True,max-age=86400,86400,False,False,False,False,False
cwc.gov,cwc.gov,http://www.cwc.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
csosa.gov,csosa.gov,http://www.csosa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
cupcao.gov,cupcao.gov,https://www.cupcao.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubDomains; preload,63072000,False,False,False,False,False
digitalgov.gov,digitalgov.gov,https://www.digitalgov.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000;,31536000,False,False,False,False,False
deaecom.gov,deaecom.gov,https://www.deaecom.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,True,False
data.gov,data.gov,https://www.data.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
cybersecurity.gov,cybersecurity.gov,https://cybersecurity.gov,True,False,,True,True,False,False,False,False,True,max-age=86400,86400,False,False,False,False,False
cybercareers.gov,cybercareers.gov,https://www.cybercareers.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
denali.gov,denali.gov,http://denali.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
dhs.gov,dhs.gov,https://www.dhs.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
defense.gov,defense.gov,https://www.defense.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
directoasucuenta.gov,directoasucuenta.gov,https://www.directoasucuenta.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
distraction.gov,distraction.gov,https://www.distraction.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
distracteddriving.gov,distracteddriving.gov,https://www.distracteddriving.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
dni.gov,dni.gov,https://www.dni.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
disasterassistance.gov,disasterassistance.gov,https://www.disasterassistance.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False
doioig.gov,doioig.gov,https://www.doioig.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,True,False
dnfsb.gov,dnfsb.gov,https://www.dnfsb.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,True,False
dol.gov,dol.gov,https://www.dol.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
docline.gov,docline.gov,https://www.docline.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
digitalliteracy.gov,digitalliteracy.gov,https://digitalliteracy.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False,False,False
doleta.gov,doleta.gov,https://doleta.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,True,False,False
donaciondeorganos.gov,donaciondeorganos.gov,https://www.donaciondeorganos.gov,True,False,,True,True,False,True,False,False,True,max-age=157680000,157680000,False,False,False,False,False
dotgov.gov,dotgov.gov,https://www.dotgov.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
doi.gov,doi.gov,https://www.doi.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
donotcall.gov,donotcall.gov,https://donotcall.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
dsac.gov,dsac.gov,https://www.dsac.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False
dra.gov,dra.gov,http://dra.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
eac.gov,eac.gov,https://www.eac.gov,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
economicinclusion.gov,economicinclusion.gov,https://economicinclusion.gov,True,False,,True,True,False,True,False,False,True,max-age=157680000,157680000,False,False,False,False,False
e-enterprise.gov,e-enterprise.gov,https://www.e-enterprise.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False
drought.gov,drought.gov,https://www.drought.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
drugabuse.gov,drugabuse.gov,https://www.drugabuse.gov,True,False,,True,True,False,False,False,False,True,max-age=31536000; includeSubdomains,31536000,False,False,False,False,False
ecopartnerships.gov,ecopartnerships.gov,http://ecopartnerships.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,False
econsumer.gov,econsumer.gov,https://econsumer.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
ed.gov,ed.gov,https://www.ed.gov,True,False,,True,True,False,True,False,False,True,max-age=3600,3600,False,False,False,False,False
ecpic.gov,ecpic.gov,https://www.ecpic.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False
edpubs.gov,edpubs.gov,https://edpubs.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,True,False,False
eeoc.gov,eeoc.gov,https://www.eeoc.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000,63072000,False,False,False,False,False
eia.gov,eia.gov,http://www.eia.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
eftps.gov,eftps.gov,https://www.eftps.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
eisenhowermemorial.gov,eisenhowermemorial.gov,http://eisenhowermemorial.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
eda.gov,eda.gov,https://eda.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
eldercare.gov,eldercare.gov,http://www.eldercare.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
employeeexpress.gov,employeeexpress.gov,https://www.employeeexpress.gov,True,False,,True,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False
endingthedocumentgame.gov,endingthedocumentgame.gov,https://endingthedocumentgame.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
empowhr.gov,empowhr.gov,https://www.empowhr.gov,True,False,,False,True,False,True,True,False,False,max-age=119584758; includeSubDomains,119584758,False,False,False,False,False
energycodes.gov,energycodes.gov,https://www.energycodes.gov,True,False,,True,True,False,True,False,False,True,max-age=15768000,15768000,False,False,False,False,False
energy.gov,energy.gov,https://energy.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
ems.gov,ems.gov,https://www.ems.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
epa.gov,epa.gov,https://www.epa.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; preload;,31536000,False,False,False,False,False
esa.gov,esa.gov,http://esa.gov,True,False,,True,False,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False
epic.gov,epic.gov,https://www.epic.gov,True,False,,True,True,False,True,False,False,False,"['max-age=31536000; includeSubDomains; preload', 'max-age=31536000; includeSubDomains; preload', 'max-age=31536000; includeSubDomains; preload', 'max-age=31536000; includeSubDomains; preload']",,True,True,False,False,False
energystar.gov,energystar.gov,https://www.energystar.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False
eta-find.gov,eta-find.gov,https://www.eta-find.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
esrs.gov,esrs.gov,https://esrs.gov,True,False,,True,True,False,True,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,False,False,False
esc.gov,esc.gov,https://www.esc.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False
ethicsburg.gov,ethicsburg.gov,https://www.ethicsburg.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False
evus.gov,evus.gov,https://www.evus.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,True,False
evergladesrestoration.gov,evergladesrestoration.gov,https://evergladesrestoration.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload;,31536000,True,True,False,False,False
everykidinapark.gov,everykidinapark.gov,https://everykidinapark.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False,False
eyenote.gov,eyenote.gov,http://eyenote.gov,True,False,,False,False,False,False,True,True,False,max-age=63072000; includeSubDomains; preload,63072000,False,False,False,False,False
execsec.gov,execsec.gov,http://www.execsec.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,True,False
faa.gov,faa.gov,https://www.faa.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,True,False
