Domain Name,Domain Type,Agency,City,State,Status,Last Payment Date,Expiration Date
18F.GOV,Federal Agency,Anything,,,,,
ABERDEENWA.GOV,City,Non-Federal Agency,Aberdeen,WA,ACTIVE,15-Jul-13,27-Oct-13
ABINGDON-VA.GOV,City,Non-Federal Agency,Abingdon,VA,ACTIVE,3-Sep-14,14-Sep-15
ABINGTONMA.GOV,City,Non-Federal Agency,Abington,MA,ACTIVE,11-Mar-15,15-Mar-16
ABSECONNJ.GOV,City,Non-Federal Agency,Absecon,NJ,ACTIVE,21-Nov-14,18-Dec-15
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ,ACTIVE,8-Aug-14,8-Aug-15
ACTON-MA.GOV,City,Non-Federal Agency,Acton,MA,ACTIVE,29-Sep-14,30-Sep-15
ACTONMA.GOV,City,Non-Federal Agency,Acton,MA,ACTIVE,29-Sep-14,30-Sep-15
ADAK-AK.GOV,City,Non-Federal Agency,Adak,AK,ACTIVE,29-Oct-14,12-Jan-16
ADAMN.GOV,City,Non-Federal Agency,Ada,MN,ACTIVE,25-Aug-14,25-Aug-15
ADDISONTX.GOV,City,Non-Federal Agency,Addison,TX,ACTIVE,26-Jan-15,26-Apr-16
ADRIANMI.GOV,City,Non-Federal Agency,Adrian,MI,ACTIVE,6-Mar-15,4-May-16
AFTONWYOMING.GOV,City,Non-Federal Agency,AFTON,WY,ACTIVE,2-Sep-14,30-Oct-15
AKRONOHIO.GOV,City,Non-Federal Agency,Akron,OH,ACTIVE,4-Aug-14,28-Jul-15
ALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA,ACTIVE,7-Jul-14,3-Oct-15
ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,Alamo Heights,TX,ACTIVE,12-Aug-14,26-Aug-15
ALBANYNY.GOV,City,Non-Federal Agency,Albany,NY,ACTIVE,9-Feb-15,8-Feb-16
ALEXANDERCITYAL.GOV,City,Non-Federal Agency,Alexander City,AL,ACTIVE,18-Jun-14,12-Sep-15
ALEXANDRIAVA.GOV,City,Non-Federal Agency,Alexandria,VA,ACTIVE,22-Jul-14,30-Sep-15
ALGONAWA.GOV,City,Non-Federal Agency,Algona,WA,ACTIVE,3-Mar-15,26-Mar-16
ALGOODTN.GOV,City,Non-Federal Agency,Algood,TN,ACTIVE,25-Feb-15,25-Feb-16
ALIQUIPPAPA.GOV,City,Non-Federal Agency,Aliquippa,PA,ACTIVE,14-Aug-14,10-Nov-14
ALLENSTOWNNH.GOV,City,Non-Federal Agency,Allenstown,NH,ACTIVE,2-Mar-15,15-Apr-16
ALLENTOWNPA.GOV,City,Non-Federal Agency,Allentown,PA,ACTIVE,27-May-14,26-Jul-15
ALLIANCEOH.GOV,City,Non-Federal Agency,Alliance,OH,ACTIVE,30-Sep-14,30-Sep-15
ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Almont,MI,ACTIVE,12-Nov-14,30-Jan-16
ALSTEADNH.GOV,City,Non-Federal Agency,Alstead,NH,ACTIVE,9-Dec-14,9-Dec-15
ALTAVISTAVA.GOV,City,Non-Federal Agency,Altavista,VA,ACTIVE,5-Feb-14,4-May-15
ALTON-TX.GOV,City,Non-Federal Agency,Alton,TX,ACTIVE,26-Nov-14,3-Jan-16
ALTUSOK.GOV,City,Non-Federal Agency,Altus,OK,ACTIVE,17-Apr-14,2-May-15
ALVIN-TX.GOV,City,Non-Federal Agency,Alvin,TX,ACTIVE,7-Aug-12,2-Nov-13
AMARILLO.GOV,City,Non-Federal Agency,Amarillo,TX,ACTIVE,23-Sep-14,30-Sep-15
AMENIANY.GOV,City,Non-Federal Agency,Amenia,NY,ACTIVE,23-Jun-14,31-Aug-15
AMERICUSGA.GOV,City,Non-Federal Agency,Americus,GA,ACTIVE,26-Sep-13,26-Sep-14
AMERYWI.GOV,City,Non-Federal Agency,Amery,WI,ACTIVE,6-Jan-15,4-Apr-16
AMHERSTMA.GOV,City,Non-Federal Agency,Amherst,MA,ACTIVE,23-Aug-11,23-Aug-12
AMHERSTNH.GOV,City,Non-Federal Agency,Amherst,NH,ACTIVE,24-Sep-14,30-Sep-15
AMHERSTVA.GOV,City,Non-Federal Agency,Amherst,VA,ACTIVE,23-Apr-14,22-Jul-15
AMITYARKANSAS.GOV,City,Non-Federal Agency,Amity,AR,ACTIVE,13-Aug-13,8-Oct-14
AMSTERDAMNY.GOV,City,Non-Federal Agency,Amsterdam,NY,ACTIVE,19-Sep-12,30-Sep-13
ANDOVER-NH.GOV,City,Non-Federal Agency,Andover,NH,ACTIVE,28-Jan-15,28-Jan-16
ANDOVERMA.GOV,City,Non-Federal Agency,Andover,MA,ACTIVE,14-Jul-14,30-Aug-15
ANDOVERMN.GOV,City,Non-Federal Agency,Andover,MN,ACTIVE,24-Dec-14,10-Jan-16
ANGELFIRENM.GOV,City,Non-Federal Agency,Angel Fire,NM,ACTIVE,4-Apr-14,9-Jun-15
ANGELSCAMP.GOV,City,Non-Federal Agency,City of Angels Camp,CA,ACTIVE,7-Nov-14,30-Sep-15
ANKENYIOWA.GOV,City,Non-Federal Agency,Ankeny,IA,ACTIVE,20-Jan-15,16-Mar-16
ANNATEXAS.GOV,City,Non-Federal Agency,Anna,TX,ACTIVE,18-Aug-14,1-Nov-15
ANNETTATX.GOV,City,Non-Federal Agency,Aledo,TX,ACTIVE,3-Feb-15,3-Feb-16
ANNISTONAL.GOV,City,Non-Federal Agency,Anniston,AL,ACTIVE,5-Aug-13,30-Sep-14
APPLEVALLEYCA.GOV,City,Non-Federal Agency,Apple Valley,CA,ACTIVE,6-Jan-14,9-Feb-15
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Apple Valley,UT,ACTIVE,17-Nov-14,30-Jan-16
APPOMATTOXVA.GOV,City,Non-Federal Agency,Appomattox,VA,ACTIVE,17-Nov-14,16-Dec-15
AQUINNAH-MA.GOV,City,Non-Federal Agency,Aquinnah,MA,ACTIVE,21-May-13,17-Jun-14
ARANSASPASSTX.GOV,City,Non-Federal Agency,Aransas Pass,TX,ACTIVE,17-Feb-15,23-Feb-16
ARCADIA-FL.GOV,City,Non-Federal Agency,Arcadia,FL,ACTIVE,22-Mar-12,22-Mar-13
ARCADIACA.GOV,City,Non-Federal Agency,Arcadia,CA,ACTIVE,22-Jan-15,12-Feb-16
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald,PA,ACTIVE,29-Apr-14,26-Jun-15
ARKANSASCITYKS.GOV,City,Non-Federal Agency,Arkansas City,KS,ACTIVE,4-Aug-14,30-Sep-15
ARLINGTON-TX.GOV,City,Non-Federal Agency,Arlington,TX,ACTIVE,2-Jun-14,30-Jun-15
ARLINGTONMA.GOV,City,Non-Federal Agency,Arlington,MA,ACTIVE,7-Jan-15,31-Mar-16
ARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX,ACTIVE,2-Jun-14,30-Jun-15
ARLINGTONWA.GOV,City,Non-Federal Agency,Arlington,WA,ACTIVE,17-Mar-14,14-May-15
ARTESIANM.GOV,City,Non-Federal Agency,Artesia,NM,ACTIVE,21-Jul-14,19-Oct-15
ARTHUR-IL.GOV,City,Non-Federal Agency,Arthur,IL,ACTIVE,3-Jan-13,20-Mar-14
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Ashburnham,MA,ACTIVE,4-Aug-14,24-Aug-15
ASHBYMA.GOV,City,Non-Federal Agency,Ashby,MA,ACTIVE,7-May-14,5-Jul-15
ASHEBORONC.GOV,City,Non-Federal Agency,Asheboro,NC,ACTIVE,24-Jul-14,24-Aug-15
ASHGROVEMO.GOV,City,Non-Federal Agency,Ash Grove,MO,ACTIVE,8-Oct-14,8-Oct-15
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Ashland City,TN,ACTIVE,22-Jan-15,5-Mar-16
ASHLANDKY.GOV,City,Non-Federal Agency,Ashland,KY,ACTIVE,17-Jul-14,22-Sep-15
ASHVILLEOHIO.GOV,City,Non-Federal Agency,Ashville,OH,ACTIVE,9-Apr-13,1-Jun-14
ATHOL-MA.GOV,City,Non-Federal Agency,Athol,MA,ACTIVE,15-Apr-14,12-May-15
ATKINSON-NH.GOV,City,Non-Federal Agency,Atkinson,NH,ACTIVE,2-Sep-14,20-Sep-15
ATLANTAGA.GOV,City,Non-Federal Agency,Atlanta,GA,ACTIVE,23-Jul-14,30-Sep-15
ATLANTISFL.GOV,City,Non-Federal Agency,Atlantis,FL,ACTIVE,14-Jul-14,20-Jun-15
ATRISCO-NM.GOV,City,Non-Federal Agency,Atrisco,NM,ACTIVE,12-Aug-13,3-Nov-13
ATTICA-IN.GOV,City,Non-Federal Agency,Attica,IN,ACTIVE,9-Jul-14,7-Aug-15
AUBREYTX.GOV,City,Non-Federal Agency,Aubrey,TX,ACTIVE,24-Nov-14,24-Nov-15
